file,status,legacy_hits,current_hits,current::access_boundary,current::current_services,current::no_supabase_yet,current::qiaccess_start,current::qiserver_runtime,legacy::client_portal_language,legacy::old_business_priority,legacy::old_qially_suite_language,legacy::public_exposure_risk_language
00_blueprint/01_governance/30_standards/30_standards.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/30_standards/metadata_policy.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/30_standards/standards.md,current_or_aligned,0,3,1,2,0,0,0,0,0,0,0
00_blueprint/01_governance/30_standards/templates_policy.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/30_standards/_Index_of_30_standards.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/40_registry/40_registry.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/40_registry/registry.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/40_registry/_Index_of_40_registry.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/50_decisions/50_decisions.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/50_decisions/decisions.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/50_decisions/_Index_of_50_decisions.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
