file,status,legacy_hits,current_hits,current::access_boundary,current::current_services,current::markdown_vault,current::no_supabase_yet,current::qiaccess_start,current::qiserver_runtime,legacy::client_portal_language,legacy::old_business_priority,legacy::old_qially_suite_language,legacy::old_stack_assumptions,legacy::public_exposure_risk_language
10_blueprint/registry/subdomain_registry.yaml,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/registry/workspace_realms.yaml,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/schemas/band_registry.schema.json,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/standards/content_metadata_profile.yaml,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/standards/metadata_rules.yaml,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/standards/naming_rules.yaml,likely_stale,3,0,0,0,0,0,0,0,1,0,2,0,0
10_blueprint/standards/pdf_standards.yaml,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/standards/repo_rules.yaml,mixed_review,5,19,3,5,0,1,0,10,0,0,0,5,0
10_blueprint/templates/_index.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/templates/adr_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/templates/appendix_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/templates/artifact_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/templates/note_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/templates/operational_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/templates/page_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/templates/README.md,mixed_review,1,1,0,0,1,0,0,0,1,0,0,0,0
10_blueprint/templates/registry_reference_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/templates/section_index_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/templates/standard_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/templates/templates.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
30_audits/docs_alignment_audit_20260512_020923.md,reference_or_audit,43,561,18,141,0,0,61,341,12,1,3,27,0
30_audits/docs_alignment_audit_20260512_031245.md,reference_or_audit,248,274,33,79,12,0,40,110,108,0,59,81,0
30_audits/docs_alignment_audit_20260512_035449.md,reference_or_audit,241,340,39,102,12,7,38,142,101,0,54,86,0
30_audits/docs_alignment_audit_20260512_040828.md,reference_or_audit,241,340,39,102,12,7,38,142,101,0,54,86,0
30_audits/docs_alignment_audit_20260512_043926.md,reference_or_audit,237,373,35,82,114,3,38,101,101,0,54,82,0
30_audits/docs_alignment_audit_20260512_044141.md,reference_or_audit,241,340,39,102,12,7,38,142,101,0,54,86,0
30_audits/docs_alignment_audit_20260512_044902.md,reference_or_audit,244,376,35,93,10,36,71,131,99,0,51,94,0
30_audits/docs_alignment_audit_20260512_052243.md,reference_or_audit,244,381,35,94,10,36,71,135,99,0,51,94,0
30_audits/QiAccess_Start_Current_State_Audit.md,reference_or_audit,6,65,0,33,0,0,3,29,0,0,0,6,0
30_audits/QiServer_Service_Truth_Audit.md,reference_or_audit,2,63,11,28,0,0,2,22,0,0,0,2,0
